物件名,住所,間取り,家賃,階数,最寄りまでの時間
小田急線 経堂駅 4階建 築3年,東京都世田谷区経堂２,2K,10.5万円,"築3年
4階建",小田急線/経堂駅 歩5分
ラフィスタ下丸子,東京都大田区下丸子２,2K,8.45万円,"築5年
5階建",東急多摩川線/武蔵新田駅 歩10分
都営大江戸線 東新宿駅 3階建 築5年,東京都新宿区富久町,2K,13.5万円,"築5年
3階建",都営大江戸線/東新宿駅 歩9分
東急大井町線 等々力駅 2階建 築7年,東京都世田谷区等々力３,2K,9.4万円,"築7年
2階建",東急大井町線/等々力駅 歩2分
都営大江戸線 牛込柳町駅 5階建 新築,東京都新宿区市谷柳町,2K,11.2万円,"新築
5階建",都営大江戸線/牛込柳町駅 歩1分
BellaDomani桜新町,東京都世田谷区弦巻２,2K,11.2万円,"築3年
2階建",東急田園都市線/桜新町駅 歩10分
東急田園都市線 桜新町駅 2階建 築3年,東京都世田谷区弦巻２,2K,11.2万円,"築3年
2階建",東急田園都市線/桜新町駅 歩10分
京王線 代田橋駅 3階建 築10年,東京都世田谷区大原２,2K,9.2万円,"築10年
3階建",京王線/代田橋駅 歩1分
都営大江戸線 東新宿駅 14階建 築1年,東京都新宿区新宿６,2K,15.4万円,"築1年
14階建",都営大江戸線/東新宿駅 歩2分
東京メトロ丸ノ内線 茗荷谷駅 10階建 築2年,東京都文京区小石川５,2DK,18.4万円,"築2年
10階建",東京メトロ丸ノ内線/茗荷谷駅 歩7分
ラ・フルール,東京都江戸川区北小岩２,2DK,12.2万円,"築11年
3階建",ＪＲ総武線/小岩駅 歩11分
ＫＤＸレジデンス梅島,東京都足立区梅島１,2DK,12.7万円,"築3年
7階建",東武伊勢崎線/梅島駅 歩7分
東武伊勢崎線 西新井駅 2階建 築1年,東京都足立区梅島３,2DK,11万円,"築1年
2階建",東武伊勢崎線/西新井駅 歩8分
東京メトロ丸ノ内線 茗荷谷駅 地下1地上6階建 築5年,東京都文京区小日向４,2DK,18.4万円,"築5年
地下1地上6階建",東京メトロ丸ノ内線/茗荷谷駅 歩6分
レオーネ南千住III,東京都台東区清川２,2DK,14.45万円,"築4年
10階建",東京メトロ日比谷線/南千住駅 歩10分
メゾン・ド・エゾエ,東京都江戸川区東瑞江３,2DK,11万円,"築12年
3階建",都営新宿線/瑞江駅 歩3分
都営新宿線 瑞江駅 3階建 築12年,東京都江戸川区東瑞江３,2DK,11万円,"築12年
3階建",都営新宿線/瑞江駅 歩3分
Ｅｓｔａｒｅ,東京都中野区野方４,2DK,14.3万円,"新築
3階建",西武新宿線/野方駅 歩8分
西武新宿線 野方駅 3階建 新築,東京都中野区野方４,2DK,14.3万円,"新築
3階建",西武新宿線/野方駅 歩8分
西武新宿線 都立家政駅 2階建 築12年,東京都中野区鷺宮３,2DK,7.8万円,"築12年
2階建",西武新宿線/都立家政駅 歩2分
ＳＧ　Ｐｒｉｍｅ,東京都台東区上野桜木２,2DK,17.4万円,"新築
地下1地上4階建",ＪＲ山手線/鶯谷駅 歩9分
東京メトロ東西線 葛西駅 5階建 築13年,東京都江戸川区東葛西５,2DK,11.9万円,"築13年
5階建",東京メトロ東西線/葛西駅 歩10分
サンローゼ,東京都北区赤羽西３,2DK,9万円,"築14年
2階建",ＪＲ京浜東北線/赤羽駅 歩10分
都電荒川線 小台駅 10階建 新築,東京都荒川区西尾久３,2LDK,14.2万円,"新築
10階建",都電荒川線/小台駅 歩3分
（シニア限定）ヘーベルヴィレッジ中野白鷺～Ｒｅｌａｃｈｅ　白鷺～,東京都中野区白鷺２,2DK,15.5万円,"築9年
2階建",西武新宿線/鷺ノ宮駅 歩9分
東急東横線 都立大学駅 5階建 築4年,東京都目黒区中根２,2DK,18.5万円,"築4年
5階建",東急東横線/都立大学駅 歩7分
グランコール志茂,東京都北区志茂１,2DK,12.3万円,"築8年
4階建",東京メトロ南北線/志茂駅 歩4分
東京メトロ南北線 志茂駅 4階建 築8年,東京都北区志茂４,2DK,12.3万円,"築8年
4階建",東京メトロ南北線/志茂駅 歩4分
グランコール志茂,東京都北区志茂４,2DK,12.3万円,"築8年
4階建",東京メトロ南北線/志茂駅 歩4分
ＪＲ中央線 高円寺駅 4階建 新築,東京都中野区大和町１,2DK,14.2万円,"新築
4階建",ＪＲ中央線/高円寺駅 歩10分
アラート本所吾妻橋,東京都墨田区本所４,2DK,17.5万円,"築2年
5階建",都営浅草線/本所吾妻橋駅 歩9分
